,Tweets,AuthorID
77,@Lakers 💪🏾👑 https://t.co/FUhMRnoWnz,<generator object <genexpr> at 0x7fbde09f7350>
78,You had a huge impact on me and my family and I’m so appreciative of you. A great person and journalist. Rest In Paradise Grant Wahl. 🙏🏾🤎👑 https://t.co/rvFDGEA9fz,<generator object <genexpr> at 0x7fbde09f7350>
79,@RicFlairNatrBoy ALL LOVE Nature Boy!!!! You're such a LEGEND MAN!!! Continue of blessings sent to you and the family!! 🙏🏾✊🏾🤎👑,<generator object <genexpr> at 0x7fbde09f7350>
80,Happy Bday Larry Legend!!!!!! ♾️ GOATED!! BIG 33 🍀,<generator object <genexpr> at 0x7fbde09f7350>
81,TB12 https://t.co/aKcYaMqyyg,<generator object <genexpr> at 0x7fbde09f7350>
82,@CoachMcGuff Very welcome Coach!! Best of luck to you and your hard working ladies this year and beyond! Always got my support!! O-H.. #GoBucks🌰,<generator object <genexpr> at 0x7fbde09f7350>
83,Let’s Goooooooooooooo!!! 👑💪🏾⚽️ @FortniteGame #BoundByBattle #EpicPartner https://t.co/m2pHiwdY9x https://t.co/qapfT5lyaf,<generator object <genexpr> at 0x7fbde09f7350>
84,@D19J 🤣🤣🤣🤣🤣🤣🤣,<generator object <genexpr> at 0x7fbde09f7350>
85,H.I.M. That's all https://t.co/qluQv48Vfp,<generator object <genexpr> at 0x7fbde09f7350>
86,"Man I watch NFL Live almost every day cause I simply love football but I watch it even more when @mspears96 on there! Dude IQ of the sport is dope, funny as hell and you can tell he just being himself! He Don't be hating, just be speaking the game and its facts",<generator object <genexpr> at 0x7fbde09f7350>
87,@USMNT CONGRATS MEN on advancing!! Keep going!! 👏🏾👏🏾👏🏾👏🏾 🇺🇸,<generator object <genexpr> at 0x7fbde09f7350>
88,KD NOT NICE!!! 🤣🤣🤣🤣🤣🤣. SHEESH,<generator object <genexpr> at 0x7fbde09f7350>
89,"""You cats was never them dudes! LIKE NOT EVER! Not even when you was 2-  @CurrenSy_Spitta 😤😤😤 PREACH 🗣️🗣️🗣️",<generator object <genexpr> at 0x7fbde09f7350>
90,WOW!! Let’s Go!!! 😤💪🏾🪓 @PlayStation @SonySantaMonica https://t.co/HkQevE5lXY https://t.co/RzCjleabC2,<generator object <genexpr> at 0x7fbde09f7350>
91,Welcome to the family @swipathefox!!! #KlutchGene https://t.co/vPJF7CYg4J,<generator object <genexpr> at 0x7fbde09f7350>
92,Just a thought 💭,<generator object <genexpr> at 0x7fbde09f7350>
93,@kylekuzma @ivicazubac FACTS!!! So underrated. ZUUUUUUUUU 🗣️🗣️🗣️🗣️🗣️,<generator object <genexpr> at 0x7fbde09f7350>
94,Man Seth Curry so NICE!!!!,<generator object <genexpr> at 0x7fbde09f7350>
95,Good Ole Old Fashion A** Kicking!!!,<generator object <genexpr> at 0x7fbde09f7350>
96,@CamKnows_ It's insane that he has to Cam! 🤦🏾‍♂️. Lol,<generator object <genexpr> at 0x7fbde09f7350>
97,The ABSOLUTE BEST WR in the country!! #18 Jr,<generator object <genexpr> at 0x7fbde09f7350>
98,Let’s Goooooooooooooo BUCKS 🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️,<generator object <genexpr> at 0x7fbde09f7350>
99,Can't believe I'm not available to be at this game today!! This is insane 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️😩😩😩,<generator object <genexpr> at 0x7fbde09f7350>
100,John Madden we’re ALL thankful for you!!! 🐐,<generator object <genexpr> at 0x7fbde09f7350>
101,@JJettas2 is RIDICULOUS out there man!!!,<generator object <genexpr> at 0x7fbde09f7350>
102,Let's Go!!!!!! Had to ❌ake sure ❌y boys had that 🔥🔥🔥🔥🔥 for the weekend!! O-H!! #GoBucks https://t.co/n35ddwDBBz,<generator object <genexpr> at 0x7fbde09f7350>
103,All about that whole body hydration!! @LIFEWTR 💧💪🏾👑 #LifeWTRpartner https://t.co/zXRw9ABIzx,<generator object <genexpr> at 0x7fbde09f7350>
104,@RomeTrav @SencireH Yessir!!! Let's Go nephew!!! @SencireH,<generator object <genexpr> at 0x7fbde09f7350>
